category,orig_name,name,longitude,latitude,alley_capacity,jeep_count,average_time_arrival_mins,total_passenger,time_slot,orig_name.1
Mall,GAISANO CARMEN II,Gaisano Carmen II,459939.1328,937368.9744,3,25,1,42,10:00:00 am to 12:00:00 pm,GAISANO CARMEN II
Mall,GAISANO CARMEN II,Gaisano Carmen II,459939.1328,937368.9744,3,27,1,51,12:00:00 pm to 3:00:00 pm,GAISANO CARMEN II
Mall,GAISANO CARMEN II,Gaisano Carmen II,459939.1328,937368.9744,3,21,1,62,3:00:00 pm to 5:00:00 pm,GAISANO CARMEN II
Mall,GAISANO CARMEN II,Gaisano Carmen II,459939.1328,937368.9744,3,21,1,62,5:00:00 pm to 7:00:00 pm,GAISANO CARMEN II
Mall,SAVEMORE KAUSWAGAN,Savemore Kauswagan,460115.8852,938783.9109,6,15,20,25,8:00:00 am to 10:00:00 am,SAVEMORE KAUSWAGAN
Mall,SAVEMORE KAUSWAGAN,Savemore Kauswagan,460115.8852,938783.9109,6,25,20,36,10:00:00 am to 12:00:00 pm,SAVEMORE KAUSWAGAN
Mall,SAVEMORE KAUSWAGAN,Savemore Kauswagan,460115.8852,938783.9109,6,36,20,44,12:00:00 pm to 3:00:00 pm,SAVEMORE KAUSWAGAN
Mall,SAVEMORE KAUSWAGAN,Savemore Kauswagan,460115.8852,938783.9109,6,39,20,72,3:00:00 pm to 5:00:00 pm,SAVEMORE KAUSWAGAN
Mall,SAVEMORE KAUSWAGAN,Savemore Kauswagan,460115.8852,938783.9109,6,41,20,72,5:00:00 pm to 7:00:00 pm,SAVEMORE KAUSWAGAN
Mall,SAVEMORE CAPISTRANO,Savemore Capistrano,460582.6331,937800.6424,4,19,10,24,8:00:00 am to 10:00:00 am,SAVEMORE CAPISTRANO
